Product	Description	Price DKK	Production site
7700106	Product 35	66	Kirke Såby
7700034	Product 37	119	Kirke Såby
7260636	Product 50	45	Kirke Såby
7260679	Product 51	116	Kirke Såby
7260652	Product 52	38	Kirke Såby
7260687	Product 53	59	Kirke Såby
7260598	Product 54	48	Kirke Såby
7260660	Product 55	107	Kirke Såby
7261012	Product 56	53	Kirke Såby
7261004	Product 57	58	Kirke Såby
7261063	Product 58	72	Kirke Såby
7261020	Product 59	106	Kirke Såby
7260997	Product 60	43	Kirke Såby
7260989	Product 61	60	Kirke Såby
7261071	Product 63	49	Kirke Såby
7261179	Product 65	68	Kirke Såby
7261160	Product 66	32	Kirke Såby
7261454	Product 67	88	Kirke Såby
7261403	Product 68	103	Kirke Såby
7261497	Product 69	95	Kirke Såby
7261438	Product 70	80	Kirke Såby
7261411	Product 71	73	Kirke Såby
7261489	Product 72	30	Kirke Såby
7261446	Product 73	71	Kirke Såby
7261276	Product 74	80	Kirke Såby
7261225	Product 75	93	Kirke Såby
7261519	Product 77	127	Kirke Såby
7261535	Product 78	67	Kirke Såby
7261594	Product 79	96	Kirke Såby
7261586	Product 80	53	Kirke Såby
7261950	Product 85	56	Kirke Såby
7261780	Product 86	62	Kirke Såby
7261829	Product 87	101	Kirke Såby
7261799	Product 88	89	Kirke Såby
7261810	Product 89	72	Kirke Såby
7261845	Product 90	109	Kirke Såby
7261942	Product 91	128	Kirke Såby
7261934	Product 92	80	Kirke Såby
7261837	Product 93	67	Kirke Såby
7262000	Product 94	123	Kirke Såby
7193861	Product 116	74	Kirke Såby
7193864	Product 118	57	Kirke Såby
7194171	Product 125	72	Kirke Såby
7272413	Product 126	116	Kirke Såby
7272405	Product 127	107	Kirke Såby
7194045	Product 128	44	Kirke Såby
7200520	Product 139	65	Kirke Såby
7194145	Product 154	97	Kirke Såby
7198507	Product 276	94	Kirke Såby
7090757	Product 309	67	Kirke Såby
7196792	Product 315	40	Kirke Såby
7100935	Product 329	75	Kirke Såby
7200419	Product 340	77	Kirke Såby
7100970	Product 350	66	Kirke Såby
7100966	Product 351	68	Kirke Såby
7200432	Product 356	81	Kirke Såby
7200440	Product 359	55	Kirke Såby
7200435	Product 360	51	Kirke Såby
7200437	Product 362	93	Kirke Såby
7200464	Product 370	120	Kirke Såby
7200466	Product 371	63	Kirke Såby
7200465	Product 373	130	Kirke Såby
7100961	Product 378	109	Kirke Såby
7100960	Product 379	31	Kirke Såby
7100962	Product 381	122	Kirke Såby
7260970	Product 505	38	Kirke Såby
7260962	Product 506	125	Kirke Såby
7260946	Product 507	107	Kirke Såby
7100820	Product 599	39	Kirke Såby
7184417	Product 629	124	Kirke Såby
7073933	Product 639	105	Kirke Såby
7255705	Product 650	39	Kirke Såby
7169035	Product 653	96	Kirke Såby
7255675	Product 658	96	Kirke Såby
7169302	Product 664	92	Kirke Såby
