Produced qty	Material	Registration date	Batch
6922221.00000	7134533	2015-02-16 00:00:00	432130
7838187.00000	7138385	2015-06-09 00:00:00	282461
1003057.00000	7134525	2015-07-20 00:00:00	295687
216194.00000	7140134	2015-01-28 00:00:00	142984
119983.00000	7192683	2015-02-05 00:00:00	396976
831249.00000	7126867	2015-06-16 00:00:00	138739
622408.00000	7155646	2015-08-07 00:00:00	419498
127660.00000	7139012	2015-01-28 00:00:00	13517
223590.00000	7167970	2015-01-28 00:00:00	148586
132707.00000	7192686	2015-01-28 00:00:00	53650
996395.00000	7132280	2015-06-10 00:00:00	305866
340995.00000	7136005	2015-02-27 00:00:00	382777
91970.00000	7143770	2015-04-20 00:00:00	340311
774384.00000	7132271	2015-02-06 00:00:00	155408
1037579.00000	7155646	2015-01-21 00:00:00	521000
445625.00000	7132271	2015-05-06 00:00:00	331966
286773.00000	7132387	2015-03-12 00:00:00	136649
87168.00000	7126840	2015-06-17 00:00:00	282514
60793.00000	7130023	2015-07-14 00:00:00	314576
202130.00000	7129912	2015-09-23 00:00:00	231962
2076013.00000	7139950	2015-01-13 00:00:00	505931
2661621.00000	7134525	2015-02-19 00:00:00	146891
70521.00000	7163223	2015-01-13 00:00:00	98764
204894.00000	7192679	2015-02-03 00:00:00	221897
619810.00000	7132280	2015-01-13 00:00:00	187755
4488860.00000	7139950	2015-01-14 00:00:00	155726
2700988.00000	7139950	2015-01-14 00:00:00	299690
4675420.00000	7139950	2015-01-15 00:00:00	535329
2724130.00000	7139950	2015-02-03 00:00:00	466193
2581387.00000	7139950	2015-01-28 00:00:00	288
4453430.00000	7139950	2015-01-09 00:00:00	236119
3744047.00000	7139950	2015-01-13 00:00:00	152734
207875.00000	7126867	2016-02-19 00:00:00	282642
3862281.00000	7139950	2015-02-03 00:00:00	181510
1249621.00000	7134525	2015-02-19 00:00:00	417249
280563.00000	7136005	2015-03-13 00:00:00	2111
1654830.00000	7134525	2015-03-24 00:00:00	249517
1425578.00000	7155646	2015-09-22 00:00:00	498171
1448543.00000	7134525	2016-06-20 00:00:00	19802
-125.00000	7132395	2015-01-15 00:00:00	443874
1022786.00000	7126930	2015-01-22 00:00:00	140714
121838.00000	7151292	2015-02-17 00:00:00	174437
73710.00000	7136013	2015-03-13 00:00:00	125439
4286254.00000	7149042	2015-01-22 00:00:00	472249
5605903.00000	7132280	2015-01-28 00:00:00	234304
2812409.00000	7132760	2015-04-16 00:00:00	452735
3192674.00000	7149042	2015-01-21 00:00:00	483696
293623.00000	7171960	2015-01-14 00:00:00	430023
3614732.00000	7132280	2015-01-13 00:00:00	12244
632916.00000	7199600	2015-01-15 00:00:00	166959
1720703.00000	7155654	2015-01-22 00:00:00	389841
546712.00000	7151292	2015-02-02 00:00:00	488377
111369.00000	7143788	2015-02-17 00:00:00	160435
842329.00000	7132816	2015-02-17 00:00:00	105656
133228.00000	7169159	2015-02-24 00:00:00	376656
113286.00000	7136013	2015-02-24 00:00:00	364566
442342.00000	7139012	2015-03-19 00:00:00	521972
402466.00000	7169159	2015-04-07 00:00:00	29333
264905.00000	7126930	2015-07-02 00:00:00	494336
4279637.00000	7134533	2015-04-10 00:00:00	401504
1363139.00000	7132760	2015-04-16 00:00:00	215290
3856544.00000	7139950	2015-02-11 00:00:00	364323
4635998.00000	7139950	2015-03-24 00:00:00	528563
4734443.00000	7139950	2015-02-11 00:00:00	479511
239414.00000	7151284	2015-02-02 00:00:00	466217
4399352.00000	7139950	2015-02-17 00:00:00	110026
4311343.00000	7139950	2015-02-17 00:00:00	268366
136166.00000	7132794	2015-02-17 00:00:00	436469
3383402.00000	7138385	2015-02-26 00:00:00	117337
595041.00000	7139004	2015-02-27 00:00:00	273768
184082.00000	7160747	2015-03-02 00:00:00	233180
65404.00000	7163231	2015-12-16 00:00:00	274342
58289.00000	7130023	2016-02-19 00:00:00	337496
3359430.00000	7139950	2015-03-24 00:00:00	462940
2790526.00000	7139950	2015-03-24 00:00:00	111964
3121267.00000	7139950	2015-04-23 00:00:00	280467
79963.00000	7198167	2015-06-18 00:00:00	440408
2964126.00000	7132280	2015-06-30 00:00:00	107646
474661.00000	7126930	2015-06-16 00:00:00	326796
63532.00000	7143788	2015-06-18 00:00:00	359520
3713122.00000	7149042	2015-03-20 00:00:00	290845
2787909.00000	7149042	2015-01-28 00:00:00	192215
-21376.00000	7149042	2015-03-26 00:00:00	192215
2270178.00000	7149042	2015-02-19 00:00:00	459283
2214951.00000	7149042	2015-02-24 00:00:00	153908
2010648.00000	7149042	2015-02-26 00:00:00	364983
2942879.00000	7149042	2015-02-26 00:00:00	199507
835292.00000	7134266	2015-01-13 00:00:00	306881
767782.00000	7134517	2015-02-20 00:00:00	454464
4621770.00000	7139950	2015-02-24 00:00:00	39759
2699766.00000	7139950	2015-02-24 00:00:00	410978
199853.00000	7199660	2015-01-28 00:00:00	528683
65709.00000	7145357	2015-01-28 00:00:00	128230
757967.00000	7138547	2015-04-10 00:00:00	504872
-9297.00000	7138547	2015-04-21 00:00:00	504872
2207039.00000	7132751	2015-04-14 00:00:00	304430
252072.00000	7143770	2015-06-11 00:00:00	315071
143546.00000	7151284	2015-02-11 00:00:00	374794
59702.00000	7145357	2015-02-10 00:00:00	31457
2682614.00000	7139950	2015-03-12 00:00:00	441959
4703121.00000	7139950	2015-03-16 00:00:00	274743
667752.00000	7138385	2015-04-22 00:00:00	38716
442742.00000	7126867	2015-06-16 00:00:00	23447
3516608.00000	7149042	2015-03-06 00:00:00	516510
2242177.00000	7149042	2015-03-10 00:00:00	266619
3558183.00000	7149042	2015-03-13 00:00:00	344332
403708.00000	7155654	2015-07-09 00:00:00	394273
3358312.00000	7149042	2015-04-07 00:00:00	165473
3438680.00000	7149042	2015-04-08 00:00:00	90345
2963053.00000	7149042	2015-04-07 00:00:00	486023
194802.00000	7136846	2015-04-24 00:00:00	113980
187323.00000	7192755	2015-06-25 00:00:00	462683
93481.00000	7143788	2015-09-24 00:00:00	322427
1807919.00000	7149042	2015-03-06 00:00:00	429368
4532546.00000	7149042	2015-03-04 00:00:00	236009
3059638.00000	7149042	2015-03-06 00:00:00	131503
201026.00000	7199694	2015-01-28 00:00:00	234557
116419.00000	7154410	2015-06-02 00:00:00	447445
1037666.00000	7199546	2015-01-28 00:00:00	355745
1989257.00000	7155638	2015-01-16 00:00:00	123561
145719.00000	7151276	2015-01-21 00:00:00	305829
134319.00000	7143940	2015-01-28 00:00:00	289808
176431.00000	7199635	2015-01-28 00:00:00	310652
1230253.00000	7134517	2015-02-20 00:00:00	497524
85390.00000	7151276	2015-02-17 00:00:00	213768
235411.00000	7132379	2015-02-27 00:00:00	259826
110730.00000	7151276	2015-03-16 00:00:00	285837
124645.00000	7135998	2015-04-01 00:00:00	159102
386124.00000	7134517	2015-04-01 00:00:00	468185
110005.00000	7143761	2015-02-17 00:00:00	316004
129676.00000	7160755	2015-03-18 00:00:00	391845
5089280.00000	7132263	2015-03-18 00:00:00	25338
3762601.00000	7139950	2015-03-16 00:00:00	183701
3313943.00000	7139950	2015-03-19 00:00:00	350406
1925236.00000	7139950	2015-03-19 00:00:00	51460
703197.00000	7134525	2015-05-06 00:00:00	331505
2669191.00000	7139950	2015-06-02 00:00:00	396838
3104718.00000	7139950	2015-06-10 00:00:00	432292
3177502.00000	7139950	2015-06-09 00:00:00	262921
254449.00000	7132387	2015-07-23 00:00:00	525547
4527961.00000	7149042	2015-05-20 00:00:00	472015
1946493.00000	7149042	2015-05-20 00:00:00	7085
2341439.00000	7149042	2015-05-19 00:00:00	226679
209344.00000	7130279	2015-07-27 00:00:00	111546
75798.00000	7126913	2015-07-28 00:00:00	205984
2637466.00000	7149042	2015-05-07 00:00:00	299271
3671738.00000	7149042	2015-05-06 00:00:00	364310
4522555.00000	7149042	2015-05-07 00:00:00	497467
469973.00000	7142544	2015-07-09 00:00:00	280564
2183105.00000	7149042	2015-04-21 00:00:00	433145
2904204.00000	7149042	2015-04-14 00:00:00	375606
2262379.00000	7149042	2015-04-14 00:00:00	109634
396516.00000	7142544	2015-05-22 00:00:00	312723
705297.00000	7132280	2015-11-05 00:00:00	372493
3434532.00000	7149042	2015-05-07 00:00:00	81029
2817398.00000	7149042	2015-05-07 00:00:00	373131
2754346.00000	7155654	2015-05-20 00:00:00	331155
89996.00000	7142544	2015-07-09 00:00:00	173644
2431111.00000	7139950	2015-04-16 00:00:00	471983
4364866.00000	7139950	2015-04-20 00:00:00	273976
2512955.00000	7139950	2015-04-22 00:00:00	479047
-3783.00000	7142536	2015-07-16 00:00:00	111755
528540.00000	7142536	2015-07-15 00:00:00	111755
99207.00000	7143770	2015-09-14 00:00:00	269797
2299988.00000	7134525	2015-05-06 00:00:00	284116
2968348.00000	7138385	2015-04-22 00:00:00	523834
166252.00000	7163240	2015-05-19 00:00:00	5214
544870.00000	7126867	2015-07-24 00:00:00	375257
128048.00000	7143770	2015-10-13 00:00:00	456356
4555489.00000	7139950	2015-03-19 00:00:00	183790
2039242.00000	7139950	2015-03-19 00:00:00	156178
3686700.00000	7139950	2015-03-19 00:00:00	444110
4610064.00000	7139950	2015-03-24 00:00:00	234141
430980.00000	7130252	2015-07-23 00:00:00	518335
2588756.00000	7139950	2015-04-23 00:00:00	484501
3664680.00000	7139950	2015-04-24 00:00:00	427286
3574222.00000	7139950	2015-04-28 00:00:00	261751
121224.00000	7165927	2015-07-27 00:00:00	486631
53390.00000	7130023	2015-10-27 00:00:00	142692
759659.00000	7172460	2016-05-23 00:00:00	38837
2045460.00000	7134525	2016-06-10 00:00:00	402530
5657777.00000	7134525	2016-09-13 00:00:00	182565
3287748.00000	7139950	2015-04-15 00:00:00	379644
4226827.00000	7139950	2015-04-15 00:00:00	245454
1314881.00000	7139004	2015-03-12 00:00:00	375998
266296.00000	7151284	2015-03-13 00:00:00	38286
193329.00000	7171935	2015-03-24 00:00:00	428749
728063.00000	7134525	2015-03-25 00:00:00	404260
218797.00000	7137486	2015-05-11 00:00:00	38517
3017204.00000	7149042	2015-05-20 00:00:00	166872
2960307.00000	7149042	2015-05-20 00:00:00	88328
3315579.00000	7149042	2015-05-20 00:00:00	137326
195460.00000	7142277	2015-06-23 00:00:00	377603
248635.00000	7142749	2015-08-07 00:00:00	189569
259514.00000	7170114	2015-02-19 00:00:00	419610
192423.00000	7171960	2015-03-13 00:00:00	80527
258318.00000	7151292	2015-03-16 00:00:00	193096
777676.00000	7138555	2015-04-07 00:00:00	276835
439217.00000	7199597	2015-04-24 00:00:00	369962
249510.00000	7130279	2015-04-28 00:00:00	18124
549806.00000	7140029	2015-05-12 00:00:00	512920
375598.00000	7171978	2015-06-25 00:00:00	377541
960758.00000	7199600	2015-06-24 00:00:00	246768
112517.00000	7165935	2015-06-24 00:00:00	382166
354003.00000	7132395	2015-07-10 00:00:00	270443
330683.00000	7171960	2015-07-06 00:00:00	102797
1359203.00000	7142544	2015-07-09 00:00:00	489238
1554281.00000	7155654	2015-07-14 00:00:00	118509
414106.00000	7140029	2015-07-13 00:00:00	38968
415024.00000	7199600	2015-07-27 00:00:00	75876
753313.00000	7140029	2015-08-07 00:00:00	96226
432419.00000	7142749	2015-08-25 00:00:00	159201
-70.00000	7171978	2015-08-13 00:00:00	153950
338356.00000	7171978	2015-08-12 00:00:00	153950
1264372.00000	7155654	2015-08-07 00:00:00	360329
165947.00000	7136846	2015-10-06 00:00:00	363376
44824.00000	7132395	2016-09-13 00:00:00	212088
2909075.00000	7149042	2015-06-22 00:00:00	260576
3336585.00000	7149042	2015-06-19 00:00:00	259646
2465127.00000	7149042	2015-06-24 00:00:00	20761
2844856.00000	7149042	2015-06-29 00:00:00	523309
4541004.00000	7149042	2015-06-29 00:00:00	6706
2551219.00000	7149042	2015-06-30 00:00:00	309727
