Material	Quantity	Batch
7181655	33	346630
7181710	34	44600
7181728	1	333373
7181680	0	116806
7181680	50	116806
7181710	2471	169248
7181817	626	171811
7181710	172	430990
7199597	170	99500
7199600	106	226420
7181663	152	353724
7181779	1819	70294
7199570	305	525124
7199562	100	173532
7171897	191	423943
7199538	350	347276
7199538	184	347276
7199597	185	135315
7181817	2564	194579
7199600	839	119124
7199562	841	49817
7199570	2259	428904
7171935	329	4354
7199538	46	275440
7199538	314	275440
7171897	78	180394
7171897	19	180394
7199600	164	267892
7199597	42	110379
7199597	610	110379
7199600	306	124456
7199600	1955	124456
7199562	294	460167
7199562	302	460167
7199570	730	387694
7199562	496	275958
7188374	206	299648
7181710	39	139795
7171960	147	430023
7199600	295	166959
7199538	546	49327
7199660	130	528683
7171897	0	469197
7171897	65	469197
7199546	1464	355745
7199635	393	310652
7171935	110	428749
7171960	17	80527
7199597	3	369962
7199600	530	246768
7199562	116	161990
7171935	1	211986
7199562	113	519883
7199570	1664	37847
7199694	100	491383
7199597	31	442146
7171897	20	131905
7188374	685	251971
7149042	30	222989
7145365	-51	105955
7145365	930	105955
7145365	899	105955
7145357	745	21833
7199562	25	292788
7151284	767	133346
7151276	1635	297668
7199546	1342	67329
7193623	152	315024
7193626	163	502592
7199597	14	401626
7193636	1019	372949
7149042	75	209926
7193643	29	344609
7193647	330	371904
7171935	332	302683
7171935	361	348138
7199562	420	247265
7199570	910	423611
7199570	582	25313
7138385	13	196217
7199600	38	1936
7171960	211	123921
7199597	94	470951
7199600	391	122147
7171897	24	225131
7199538	640	421238
7199546	507	445188
7193623	124	170617
7149042	-50	207463
7149042	142	207463
7199694	148	275402
7149042	49	359708
7149042	-81	359708
7149042	52	257317
7199538	302	525269
7193657	78	16436
7193623	31	455828
7171935	1	171332
7193633	207	312844
7199562	145	498979
7199600	46	172495
7193643	22	284899
7132263	48	299300
7132263	35	299300
7169949	10	65406
7150229	3	431428
7149042	89	480655
7149042	79	38841
7530102	7273	292861
7530102	16474	292283
7530307	2	85377
7530307	82	85377
7530307	144	85377
7530307	21	85377
7530307	45	85377
7530307	10	85377
7530307	92	85377
7530307	86	85377
7530307	92	85377
7530307	86	85377
7530307	146	85377
7530307	127	85377
7530307	120	85377
7530307	19	85377
7530307	79	85377
7530307	74	85377
7530307	95	85377
7530307	71	85377
7530307	114	85377
7530307	34	85377
7530307	126	85377
7530307	172	85377
7531443	22	246846
7531443	5	246846
7531443	0	68279
7530102	3105	421745
7530293	3251	216830
7530293	356	535043
7530307	142	26131
7530307	12	26131
7530307	103	26131
7530307	37	26131
7530307	109	26131
7530307	74	26131
7530307	31	26131
7530307	136	26131
7530307	167	26131
7530307	53	26131
7530307	167	26131
7530307	117	26131
7530307	37	26131
7530307	118	26131
7530307	54	26131
7530307	38	26131
7530307	91	26131
7530307	13	26131
7530307	20	26131
7530307	99	26131
7530307	14	26131
7530307	55	26131
7532245	3154	454997
7532245	1	43438
7256906	202	320932
7256930	4	251764
7256906	67	467645
7256906	14	129914
7532253	1444	374459
7256914	15	323123
7256914	267	323123
7530650	1	271288
7256906	12	21107
7256906	2	21107
7533713	0	308687
7509243	2	240704
7509243	-25	240704
7529414	1	370063
7256914	67	68201
7533713	10	356313
7509251	722	285248
7509227	587	371909
7256914	-40	20445
7256914	58	20445
7256906	31	190457
7256906	125	190457
7256906	180	190457
7256892	65	252239
7256892	202	252239
7256892	30	252239
7256949	43	507587
7256914	119	274161
7256906	227	384393
7256922	189	240698
7256922	1537	424499
7256922	4258	363368
7256922	474	521703
7533063	25	118249
7533063	52	118249
7533063	0	118249
7533055	265	142710
7256922	223	500191
7256922	23	275419
7256922	1176	275419
7256922	2517	168643
7256906	22	404385
7256922	690	123901
7256922	1015	444057
7256922	3689	444057
7256922	4250	473990
7256922	787	493179
7256906	1762	410256
7256922	299	92638
7533152	443	385188
7530056	147	56057
7530056	630	56057
7530056	493	56057
7255853	23	155256
7255853	1155	155256
7269889	265	39607
7530056	184	441062
7530056	13858	441062
7533829	448	168187
7530056	234	270668
7530056	44144	270668
7533535	54	514179
7533713	107	299529
7533713	4	299529
7533713	14	299529
7533713	1	299529
7256817	-11	396214
7269722	0	56126
7269722	-6	56126
7256892	-2	247450
7532113	212	475441
7509251	-147	475441
7509251	-67	475441
7509251	161	475441
7509251	91	475441
7509251	171	475441
7533535	88	195878
7257163	-15	5326
7257163	-1703	214408
7533136	696	398552
7533411	456	57215
7533535	880	57215
7533535	430	57215
7256825	-69	169542
7533535	360	404690
7533535	547	52401
7533535	126	287471
7257651	639	436655
7257651	-32	436655
7533713	5	284938
7533110	0	456665
7529414	-165	127768
7256809	-110	528393
7256914	-75	528393
7256914	-11	528393
7256914	95	528393
7256914	-57	528393
7256914	-118	528393
7256914	59	528393
7257651	-119	203293
7257651	135	203293
7257651	158	203293
7257651	-51	203293
7257651	34	508129
7257651	19	201087
7257651	176	314352
7529503	14	77119
7509217	34	5655
7509217	1	5655
7533713	0	379300
7533055	-132	379300
7509243	1	390958
7530307	0	163246
7530307	-1	163246
7530307	540	163246
7533950	125	163246
7532415	1	100601
7257562	106	29801
7257562	-13	400871
7256817	-360	81233
7256906	24	157956
7532130	5792	411176
7532539	260	411176
7509243	7	76706
7509243	0	76706
7509243	145	76706
7257392	17	166616
7533535	99	476631
7533535	91	339421
7533535	1559	193290
7533535	369	193290
7259212	150	91651
7533128	2995	138426
7257120	3	172418
7268130	51	136787
7533128	-9482	464332
7533128	4787	464332
7257392	0	368009
7532431	3	351354
7509243	1	298919
7509243	19	298919
7256914	5	254137
7533128	95	262130
7533128	1254	262130
7533535	105	55615
7268130	37	227249
7268130	33	108556
7268130	29	507056
7268130	19	207274
7237898	57	163815
7268130	8	191168
7268130	4	62981
7268130	34	289468
7533535	1642	369648
7268130	21	165522
7268130	5	500881
7266758	106	366742
7268130	2	23240
7268130	14	418427
7268130	6	397478
7266812	59	45352
7268130	3	116220
7268130	11	391252
7268130	1	199142
7268130	8	423995
7268130	5	142162
7268130	43	265956
7268130	2	340501
7268130	10	352134
7268130	1	495171
7268130	2	189228
7268130	9	364689
7522568	3	96565
7522568	10	96565
7268130	5	157691
7533535	4170	393263
7533535	15	393263
7533535	4017	393263
7533535	4684	393263
7533535	914	393263
7533535	2559	393263
7268130	15	305601
7533535	474	425561
7533535	438	425561
7533535	-134	425561
7533535	171	425561
7533535	159	425561
7533535	629	425561
7533535	146	425561
7268130	23	129307
7533535	871	367953
7533535	1610	367953
7268130	14	37332
7522568	11	389801
7268130	1	201935
7522568	11	87373
7268130	5	401688
7268130	19	432498
7529414	3	315594
7268130	6	419009
7522568	10	105574
7256973	88	182957
7268130	4	525465
7268130	11	56775
7268130	1	9126
7533128	551	291113
7266952	35	335176
7268130	5	222334
7268130	1	314084
7268130	9	415901
7268130	6	76552
7268130	4	91923
7268130	19	479113
7256914	16	357762
7268130	19	371614
7256914	325	16130
7256914	24	436234
7268130	3	172613
7509217	0	457630
7268130	3	119050
7268130	13	321299
7268130	11	187841
7268130	54	489010
7268130	13	408730
7532415	10	116633
7268130	27	74056
7268130	20	167722
7268130	10	132411
7268130	8	44943
7268130	13	192632
7263708	15	365454
7268130	3	356492
7532407	1895	320659
7532105	40	515469
7532105	114	515469
7268130	4	370447
7263708	567	116145
7268130	2	305344
7256906	4	89656
7500024	155	253230
7267080	20	407086
7268130	3	26232
7500066	113	257204
7533128	11607	257204
7533535	300	162159
7533535	969	94541
7274815	10	2490
7256922	18	308770
7256922	0	308770
7533535	4688	409644
7500020	-73	351560
7533128	737	137069
7533128	22	137069
7533128	44389	137069
7534078	3204	137069
7534078	160	137069
7522568	-4	7163
7200297	0	500305
7269897	1056	69983
7500024	2454	156863
7500024	153	156863
7268130	5	58740
7256914	43	349895
7256914	205	534978
7268130	9	520615
7266952	0	255680
7533535	2100	258073
7500021	3266	247578
7533535	1833	247578
7533535	6	19093
7533535	106	19093
7555555	-113	19093
7555555	170	19093
7555555	330	19093
7555555	1002	19093
7533535	156	289541
7266812	0	499348
7533535	1286	518371
7500020	32740	28124
7500020	10033	28124
7500020	34	28124
7259212	4221	468747
7259212	3461	363910
7259212	3580	206437
